# Real Antarctic bedrock transect for Part 9 (subglacial cavity benchmark).
# Source: BEDMAP1 standardised airborne-radar data points, British Antarctic Survey / SCAR Bedmap.
#   Fretwell et al.; NERC EDS UK Polar Data Centre. DOI:10.5285/f64815ec-4077-4432-9f55-0ce230f46029
#   License: CC-BY-4.0 (https://creativecommons.org/licenses/by/4.0/)
#   File: BEDMAP1_1966-2000_AIR_BM1.csv, contiguous flight segment rows 1074814:1078843.
# Single coherent flight line: 4029 points, 220.4 km along-track, 1757 m bed relief.
# Columns: along-track distance (m), bedrock_altitude (m, WGS84), longitude, latitude.
along_track_m,bedrock_altitude_m,longitude_deg,latitude_deg
11449.8,387.0,-77.6058,-77.2451
11552.1,378.0,-77.6032,-77.2458
11552.1,378.0,-77.6032,-77.2458
11669.5,374.0,-77.6002,-77.2466
11669.5,374.0,-77.6002,-77.2466
11768.8,375.0,-77.5976,-77.2473
11768.8,375.0,-77.5976,-77.2473
11809.4,373.0,-77.5965,-77.2476
11868.1,370.0,-77.595,-77.248
11868.1,370.0,-77.595,-77.248
11908.7,368.0,-77.594,-77.2483
11970.4,366.0,-77.5924,-77.2487
11970.4,366.0,-77.5924,-77.2487
12072.2,360.0,-77.5897,-77.2494
12072.2,360.0,-77.5897,-77.2494
12112.7,357.0,-77.5886,-77.2497
12166.6,355.0,-77.5872,-77.2501
12207.2,355.0,-77.5862,-77.2504
12268.1,355.0,-77.5846,-77.2508
12308.6,356.0,-77.5835,-77.2511
12364.7,357.0,-77.582,-77.2514
12464.7,353.0,-77.5794,-77.2521
12464.7,353.0,-77.5794,-77.2521
12561.3,350.0,-77.5768,-77.2528
12561.3,350.0,-77.5768,-77.2528
12660.4,344.0,-77.5741,-77.2534
12660.4,344.0,-77.5741,-77.2534
12700.9,341.0,-77.5731,-77.2537
12759.4,335.0,-77.5715,-77.2541
12759.4,335.0,-77.5715,-77.2541
12800.2,330.0,-77.5704,-77.2544
12859.6,324.0,-77.5688,-77.2548
12859.6,324.0,-77.5688,-77.2548
12899.5,325.0,-77.5677,-77.2551
12959.8,324.0,-77.5661,-77.2555
12959.8,324.0,-77.5661,-77.2555
12999.9,323.0,-77.565,-77.2557
13060.3,322.0,-77.5634,-77.2562
13060.3,322.0,-77.5634,-77.2562
13100.6,322.0,-77.5623,-77.2564
13161.7,322.0,-77.5607,-77.2568
13263.2,323.0,-77.558,-77.2575
13303.3,322.0,-77.5569,-77.2578
13364.7,320.0,-77.5553,-77.2582
13395.6,316.0,-77.5545,-77.2584
13456.3,307.0,-77.5528,-77.2588
13456.3,307.0,-77.5528,-77.2588
13555.7,307.0,-77.5502,-77.2595
13555.7,307.0,-77.5502,-77.2595
13651.3,308.0,-77.5476,-77.2602
13651.3,308.0,-77.5476,-77.2602
13750.0,302.0,-77.545,-77.2608
13750.0,302.0,-77.545,-77.2608
13846.4,304.0,-77.5425,-77.2615
13846.4,304.0,-77.5425,-77.2615
13942.0,313.0,-77.5399,-77.2622
13942.0,313.0,-77.5399,-77.2622
13979.2,313.0,-77.5389,-77.2624
14032.6,311.0,-77.5375,-77.2628
14032.6,311.0,-77.5375,-77.2628
14070.3,310.0,-77.5365,-77.263
14124.5,310.0,-77.535,-77.2634
14161.4,309.0,-77.534,-77.2636
14219.3,307.0,-77.5325,-77.264
14219.3,307.0,-77.5325,-77.264
14331.7,304.0,-77.5296,-77.2648
14427.9,299.0,-77.527,-77.2655
14464.7,298.0,-77.526,-77.2657
14515.6,297.0,-77.5247,-77.2661
14552.5,297.0,-77.5237,-77.2663
14610.5,295.0,-77.5222,-77.2667
14610.5,295.0,-77.5222,-77.2667
14700.6,293.0,-77.5198,-77.2673
14700.6,293.0,-77.5198,-77.2673
14738.4,292.0,-77.5188,-77.2676
